miRNA,SM,label
hsa-miR-7-5p,275182,1
hsa-miR-130b-3p,712,1
hsa-miR-92b-3p,5310940,1
hsa-miR-142-5p,107985,1
hsa-miR-181b-5p,444795,1
hsa-miR-21-5p,444732,1
hsa-miR-21-5p,5757,1
hsa-miR-100-5p,712,1
hsa-miR-300,216326,1
hsa-miR-217-5p,969516,1
hsa-miR-936,5311,1
hsa-miR-132-3p,124024,1
hsa-miR-671-5p,31101,1
hsa-miR-328-3p,2995,1
hsa-miR-199a-5p,5702198,1
hsa-miR-575,5283344,1
hsa-miR-18a-5p,124024,1
hsa-miR-29c-3p,2662,1
hsa-miR-29b-3p,5994,1
hsa-miR-141-3p,2375,1
hsa-miR-92a-3p,5311,1
hsa-miR-18a-5p,3385,1
hsa-miR-155-5p,5311,1
hsa-miR-30c-1-3p,5311,1
hsa-miR-93-5p,444732,1
hsa-miR-21-5p,6842,1
hsa-miR-210-3p,119307,1
hsa-miR-193b-3p,119307,1
hsa-miR-501-5p,712,1
hsa-miR-138-5p,448537,1
hsa-miR-92a-3p,3071,1
hsa-miR-31-5p,3385,1
hsa-miR-10a-5p,3385,1
hsa-miR-24-3p,712,1
hsa-miR-210-3p,2375,1
hsa-miR-199b-3p,3220,1
hsa-miR-524-3p,124024,1
hsa-miR-346,5793,1
hsa-miR-598-5p,969516,1
hsa-miR-320a-3p,3385,1
hsa-miR-194-5p,10635,1
hsa-miR-9-5p,712,1
hsa-miR-193b-5p,5311,1
hsa-miR-483-3p,124024,1
hsa-miR-451a,73581,1
hsa-miR-521,5793,1
hsa-miR-133b,124024,1
hsa-miR-510-5p,969516,1
hsa-miR-27b-3p,124024,1
hsa-miR-590-3p,3220,1
hsa-miR-302c-3p,124024,1
hsa-miR-125a-3p,712,1
hsa-miR-17-5p,5280453,1
hsa-miR-33a-5p,712,1
hsa-miR-9-5p,5394,1
hsa-miR-24-3p,451668,1
hsa-miR-99b-5p,5288826,1
hsa-miR-92a-2-5p,448537,1
hsa-miR-18a-5p,9444,1
hsa-miR-22-3p,24497,1
hsa-miR-34a-5p,5702198,1
hsa-miR-21-5p,5865,1
hsa-miR-151a-5p,3385,1
hsa-miR-128-3p,5288826,1
hsa-miR-155-5p,3652,1
hsa-miR-144-3p,2375,1
hsa-miR-15b-5p,712,1
hsa-miR-101-3p,5284373,1
hsa-miR-196a-5p,448537,1
hsa-miR-20a-5p,969516,1
hsa-miR-181a-5p,124024,1
hsa-miR-27a-3p,5743,1
hsa-miR-125b-5p,3220,1
hsa-let-7i-5p,124024,1
hsa-miR-147a,5793,1
hsa-miR-27b-3p,5743,1
hsa-miR-454-3p,5283344,1
hsa-miR-202-3p,124024,1
hsa-miR-210-3p,451668,1
hsa-miR-25-3p,448537,1
hsa-miR-518d-5p,5793,1
hsa-miR-155-5p,451668,1
hsa-miR-335-5p,448537,1
hsa-miR-424-5p,124024,1
hsa-miR-21-5p,13089,1
hsa-miR-148b-3p,712,1
hsa-miR-632,444732,1
hsa-miR-101-3p,119307,1
hsa-miR-21-5p,3652,1
hsa-miR-551b-3p,21109,0
hsa-miR-614,7222,0
hsa-miR-320a-3p,265237,0
hsa-miR-615-3p,2375,0
hsa-miR-34a-5p,3121,0
hsa-miR-561-3p,444796,0
hsa-miR-141-3p,4212,0
hsa-miR-323a-3p,544,0
hsa-miR-508-3p,784,0
hsa-miR-616-5p,265237,0
hsa-miR-323a-3p,2662,0
hsa-miR-216b-5p,6013,0
hsa-miR-141-3p,6445533,0
hsa-miR-877-3p,15939,0
hsa-miR-299-3p,5280961,0
hsa-miR-214-3p,119307,0
hsa-miR-940,5318517,0
hsa-miR-518d-5p,444796,0
hsa-miR-662,9949648,0
hsa-miR-4428,54670067,0
hsa-miR-33b-5p,4624,0
hsa-miR-324-5p,7222,0
hsa-miR-590-5p,5073,0
hsa-miR-32-3p,60750,0
hsa-miR-647,985,0
hsa-miR-186-3p,5352624,0
hsa-miR-10b-5p,969516,0
hsa-miR-219a-1-3p,2662,0
hsa-miR-1228-5p,229455,0
hsa-miR-103a-3p,5318517,0
hsa-miR-186-3p,60852,0
hsa-miR-492,5790,0
hsa-miR-3668,5394,0
hsa-miR-936,2272,0
hsa-miR-940,2733526,0
hsa-miR-513a-3p,444797,0
hsa-miR-3648,15939,0
hsa-miR-1255a,3121,0
hsa-miR-370-3p,985,0
hsa-miR-302c-3p,97226,0
hsa-miR-760,5281708,0
hsa-miR-502-3p,89594,0
hsa-miR-636,73581,0
hsa-miR-4662a-3p,5865,0
hsa-miR-525-3p,445580,0
hsa-miR-190b-5p,5757,0
hsa-miR-127-5p,2375,0
hsa-miR-636,60823,0
hsa-miR-495-3p,445154,0
hsa-miR-877-5p,10635,0
hsa-miR-1469,638278,0
hsa-miR-330-3p,5790,0
hsa-miR-488-3p,164676,0
hsa-miR-3682-3p,21109,0
hsa-miR-183-5p,5280961,0
hsa-miR-106a-5p,452548,0
hsa-miR-216a-5p,4158,0
hsa-miR-4674,47318,0
hsa-miR-302d-3p,114900,0
hsa-miR-150-3p,15939,0
hsa-let-7g-5p,60852,0
hsa-miR-4252,14403,0
hsa-miR-892b,119104,0
hsa-miR-216a-5p,216326,0
hsa-miR-409-5p,13089,0
hsa-miR-3663-3p,229455,0
hsa-miR-29c-3p,5865,0
hsa-miR-1228-5p,122634,0
hsa-miR-634,122634,0
hsa-miR-33a-5p,5743,0
hsa-miR-130b-3p,7489,0
hsa-miR-450a-5p,2662,0
hsa-miR-548b-3p,3229,0
hsa-miR-382-5p,5743,0
hsa-miR-181a-3p,216326,0
hsa-miR-498-5p,638278,0
hsa-miR-135a-5p,452548,0
hsa-miR-374b-5p,135398735,0
hsa-miR-151a-5p,216239,0
hsa-miR-373-3p,122634,0
hsa-miR-593-3p,446220,0
hsa-let-7d-3p,5280448,0
hsa-miR-489-5p,5865,0
hsa-miR-525-3p,6842,0
hsa-miR-1291,122634,0
hsa-miR-449b-3p,2578,0
hsa-miR-16-5p,444796,0
hsa-miR-372-3p,21109,0
hsa-miR-106b-5p,638278,0
hsa-miR-20a-5p,14888,0
hsa-miR-193a-3p,2733526,0
hsa-miR-4453,24288,0
hsa-miR-323a-3p,53232,0
hsa-miR-216a-5p,5311,0
hsa-miR-3648,460612,0
hsa-miR-320d,25113114,0
hsa-miR-570-3p,60750,0
hsa-miR-499a-5p,3071,0
hsa-miR-584-5p,5282350,0
hsa-miR-590-3p,784,0
hsa-miR-148b-3p,5994,0
hsa-miR-369-3p,56842238,0
hsa-miR-4703-5p,9804992,0
hsa-miR-1915-3p,6445533,0
hsa-miR-521,73581,0
hsa-miR-607,9804992,0
hsa-miR-583,24360,0
hsa-miR-519d-3p,3220,0
hsa-miR-1226-5p,107985,0
hsa-miR-92b-3p,5288209,0
hsa-miR-106b-3p,275182,0
hsa-miR-627-5p,5280453,0
hsa-miR-671-5p,444795,0
hsa-miR-1260b,13089,0
hsa-miR-202-5p,241,0
hsa-miR-1-3p,11953817,0
hsa-miR-10b-3p,24360,0
hsa-let-7f-5p,5329102,0
hsa-miR-1908-5p,444795,0
hsa-miR-30d-5p,3229,0
hsa-miR-515-3p,445639,0
hsa-miR-3945,148124,0
hsa-miR-146a-5p,442793,0
hsa-miR-4745-5p,5288826,0
hsa-miR-296-5p,3117,0
hsa-miR-523-3p,5352624,0
hsa-miR-623,123631,0
hsa-miR-4779,15939,0
hsa-miR-195-5p,7489,0
hsa-miR-30d-5p,56842238,0
hsa-miR-875-3p,21109,0
hsa-miR-423-5p,15,0
hsa-miR-500a-5p,6013,0
hsa-miR-616-5p,11953817,0
hsa-miR-517a-3p,5318517,0
hsa-miR-15b-3p,712,0
hsa-miR-16-1-3p,445580,0
hsa-miR-608,444732,0
hsa-miR-518d-3p,5743,0
hsa-miR-650,265237,0
hsa-miR-1260a,5284373,0
hsa-miR-4735-3p,3028194,0
hsa-miR-328-3p,444795,0
hsa-miR-30a-5p,5288209,0
hsa-miR-374b-5p,42611257,0
hsa-miR-576-5p,3117,0
hsa-miR-659-3p,5978,0
hsa-miR-875-3p,1832,0
hsa-miR-1228-5p,3028194,0
hsa-miR-875-3p,14888,0
hsa-miR-23b-3p,784,0
hsa-miR-149-5p,544,0
hsa-miR-675-5p,162282,0
hsa-miR-502-3p,60750,0
hsa-miR-4633-5p,123631,0
hsa-miR-4476,11953817,0
hsa-miR-524-5p,1175,0
hsa-miR-185-5p,5311,0
hsa-miR-581,60953,0
hsa-miR-20a-5p,3386,0
hsa-miR-409-3p,5352624,0
hsa-miR-99b-3p,3229,0
hsa-miR-219a-1-3p,24497,0
hsa-miR-188-5p,119104,0
hsa-miR-30c-2-3p,444797,0
hsa-miR-4450,119104,0
hsa-miR-548d-5p,53232,0
hsa-miR-551a,60823,0
hsa-miR-1912-3p,445639,0
hsa-miR-548b-3p,9547215,0
hsa-miR-507,241,0
hsa-miR-655-3p,5352624,0
hsa-miR-199a-5p,4095,0
hsa-miR-551b-3p,5073,0
hsa-miR-342-5p,25113114,0
hsa-miR-659-3p,5288826,0
hsa-miR-1207-5p,3564,0
hsa-miR-30e-5p,21633059,0
hsa-miR-429,455658,0
hsa-miR-505-3p,6445533,0
hsa-miR-211-5p,936,0
hsa-miR-605-5p,5288826,0
hsa-miR-95-5p,15,0
hsa-miR-519a-3p,164676,0
hsa-miR-615-3p,9547215,0
hsa-miR-518e-3p,114900,0
hsa-miR-611,6623,0
hsa-miR-4464,451668,0
hsa-miR-154-5p,5743,0
hsa-miR-1827,2375,0
hsa-miR-507,107985,0
hsa-miR-4693-5p,5280448,0
hsa-miR-365a-3p,4091,0
hsa-miR-18b-3p,5311,0
hsa-miR-337-3p,21109,0
hsa-miR-374c-5p,24360,0
hsa-miR-525-3p,5394,0
